PlayCode,shortTitle,Genre,Author,TitlePagePrintingDate,UncertainPerformDate,performDate,Format,printingDate,SHC,Act1,Act2,Act3,Act4,Act5,OathTotal
TC,Tottenham Court,Comedies,Thomas Nabbes (Uncertain: No)|,1638,Yes,1634,quarto,1638,163-A07978,0,0,0,1,0,1
LL,The Lost Lady,Tragicomedies,William Berkeley (Uncertain: No)|,1638,Yes,1637,folio,1638,163-A08731,0,0,0,0,1,1
NSS,"The Noble Spanish Soldier (The Noble Soldier, or A Contract Broken Justly Revenged)",Pseudo-history,Thomas Dekker (Uncertain: No)|,1634,No,1622,quarto,1634,163-A11145,0,0,0,0,0,0
ShoeGent,A Shoemaker a Gentleman,Comedies,William Rowley (Uncertain: No)|,1638,Yes,1608,quarto,1638,163-A11152,0,0,1,3,1,5
ShepHol,The Shepherds' Holiday,Pastoral plays,Joseph Rutter (Uncertain: No)|,1635,Yes,1634,octavo,1635,163-A11205,0,0,0,0,0,0
MS,The Martyred Soldier,Tragedies,Henry Shirley (Uncertain: No)|,1638,Yes,1618,quarto,1638,163-A12127,0,0,1,0,0,1
BC,The Bird in a Cage (The Beauties),Comedies,James Shirley (Uncertain: No)|,1633,No,1633,quarto,1633,163-A12128,0,0,0,0,0,0
CLM,"Changes, or Love in a Maze",Comedies,James Shirley (Uncertain: No)|,1632,No,1632,quarto,1632,163-A12129,0,0,0,0,0,0
ConMaid,The Constant Maid (Love Will Find Out the Way),Comedies,James Shirley (Uncertain: No)|,1640,Yes,1638,quarto,1640,163-A12130,0,0,0,0,1,1
Coro,The Coronation,Comedies,James Shirley (Uncertain: No)|,1640,No,1635,quarto,1640,163-A12133,0,0,0,0,0,0
DukesM,The Duke's Mistress,Tragicomedies,James Shirley (Uncertain: No)|,1638,No,1636,quarto,1638,163-A12135,0,0,0,0,0,0
